Scan #6454,
m/z,fixed intensity
54.63725281,22611.62305
55.05421448,199840.5703
57.06963348,334026.8828
64.79037476,22041.37305
67.05409241,172582.375
69.06975555,362528.9219
71.08551788,204081.7578
79.05434418,61095.1875
81.06372833,24036.40234
81.06976318,870708.5273
83.07949829,84320.38282
83.08535004,870272.0156
85.10088348,124981.8809
91.05404663,31109.4375
93.06978607,310082.5938
95.08541107,966373.125
97.10086823,486337.4844
105.0696335,244428.6719
107.0770416,46534.94141
107.0854568,464096.7188
107.0937729,19585.79688
108.0893402,34260.60156
109.1010361,978395.5625
111.1164856,148608.2813
117.0696411,28179.57422
119.0851517,215665.8125
121.1009521,591783.1641
123.1165009,582228.5938
124.1199417,27975.06055
126.1355515,56404.10547
131.0851746,133973.5
132.7401733,21666.72656
133.1010132,345905.75
135.1035614,43011.69922
135.1166687,972297.3672
137.1324615,251593.211
145.1012115,277709.2539
147.1016998,57861.37109
147.1166534,1337106.68
149.1322327,742991.5313
151.1481934,159854.0039
157.1025848,26186.70313
159.1165771,1020365.043
161.1148071,49141.19922
161.1323242,1472726.125
162.1361847,128602.4141
163.1479492,485394.0156
163.1638794,34770.35547
166.1456909,25302.9707
166.1664581,51184.95703
171.1167145,42916.69922
173.1321716,526833.875
174.1361389,30258.6543
175.1330566,13683.05762
175.1479645,681849.0625
177.1631622,216107.9687
180.1833038,34334.75391
185.1328278,114541.6719
187.1477814,330006.6875
189.1639252,277573.6836
192.1832581,86000.36719
194.1994781,41559.01563
199.1481018,205802.9531
200.1546936,29344.62109
201.1635132,468146.9961
202.0775604,681476.6875
203.0826569,139162.0938
203.1794128,301548.5391
206.1977081,56742.80859
208.2148132,47170.31641
213.1636963,245277.2969
214.1683807,30585.61914
215.1790314,499095.6407
217.1951752,101100.2109
218.1980286,84696.17969
220.2136383,85716.75781
222.228775,39484.68359
227.1795959,104010.3438
229.1951294,218420.8594
230.1959686,33609.88281
232.2129059,44436.44531
234.2297058,83207
241.1954803,213926.8125
243.2104797,102058.4922
244.2144928,50282.10156
246.2295685,101536.0234
248.2453766,48636.84766
254.2045746,34496.13672
255.2104034,392432.6484
257.2271729,113039.4453
258.2296448,90784.0625
260.2443542,114801.6016
269.2254944,74143.64063
271.2400513,40981.87109
272.2458496,166334.75
274.2623291,115676.2344
283.2411804,133798.2031
286.262207,111644.7969
297.2565308,253299.2969
298.2610779,49215.70313
300.2764893,102836.3672
311.273468,217068.7227
325.2887573,41755.98828
326.2915955,70853.15625
381.3492126,30016.71484
382.3544312,2431283.969
